Winkel;25kV;30kV;35kV
22.8;58.0;84.0;107.0
22.9;60.0;84.0;107.0
23.0;57.0;87.0;100.0
23.1;46.0;78.0;102.0
23.2;48.0;78.0;96.0
23.3;47.0;73.0;97.0
23.4;60.0;64.0;99.0
23.5;55.0;71.0;95.0
23.6;49.0;66.0;103.0
23.7;52.0;72.0;89.0
23.8;46.0;66.0;104.0
23.9;38.0;60.0;85.0
24.0;44.0;69.0;88.0
24.1;44.0;55.0;89.0
24.2;48.0;65.0;88.0
24.3;43.0;63.0;75.0
24.4;44.0;73.0;81.0
24.5;60.0;75.0;85.0
24.6;44.0;76.0;93.0
24.7;55.0;62.0;73.0
24.8;39.0;59.0;80.0
24.9;42.0;68.0;70.0
25.0;36.0;54.0;85.0
25.1;35.0;54.0;72.0
25.2;38.0;48.0;77.0
25.3;33.0;59.0;75.0
25.4;42.0;52.0;70.0
25.5;36.0;63.0;58.0
25.6;36.0;53.0;75.0
25.7;40.0;51.0;72.0
25.8;39.0;44.0;59.0
25.9;39.0;48.0;67.0
26.0;28.0;47.0;62.0
26.1;30.0;39.0;74.0
26.2;28.0;54.0;53.0
26.3;33.0;38.0;55.0
26.4;32.0;44.0;58.0
26.5;30.0;46.0;59.0
26.6;27.0;36.0;69.0
26.7;32.0;45.0;67.0
26.8;33.0;40.0;60.0
26.9;24.0;44.0;64.0
27.0;31.0;35.0;59.0
27.1;31.0;34.0;59.0
27.2;29.0;42.0;47.0
27.3;26.0;38.0;54.0
27.4;25.0;37.0;52.0
27.5;29.0;29.0;51.0
27.6;26.0;33.0;49.0
27.7;20.0;37.0;48.0
27.8;18.0;38.0;60.0
27.9;18.0;40.0;59.0
28.0;24.0;38.0;52.0
28.1;28.0;38.0;55.0
28.2;17.0;34.0;70.0
28.3;20.0;37.0;55.0
28.4;22.0;33.0;47.0
28.5;22.0;37.0;39.0
28.6;17.0;29.0;53.0
28.7;21.0;32.0;39.0
28.8;18.0;30.0;38.0
28.9;15.0;29.0;51.0
29.0;22.0;27.0;46.0
29.1;21.0;35.0;55.0
29.2;15.0;32.0;44.0
29.3;23.0;27.0;37.0
29.4;15.0;24.0;42.0
29.5;17.0;31.0;40.0
29.6;18.0;31.0;40.0
29.7;15.0;34.0;36.0
29.8;21.0;29.0;40.0
29.9;18.0;23.0;35.0
30.0;16.0;26.0;46.0
30.1;17.0;27.0;48.0
30.2;19.0;25.0;38.0
30.3;16.0;29.0;40.0
30.4;15.0;28.0;33.0
30.5;23.0;28.0;40.0
30.6;20.0;25.0;37.0
30.7;16.0;30.0;36.0
30.8;14.0;31.0;35.0
30.9;11.0;27.0;37.0
31.0;9.0;26.0;36.0
31.1;16.0;18.0;40.0
31.2;19.0;24.0;33.0
31.3;20.0;23.0;40.0
31.4;17.0;27.0;38.0
31.5;16.0;29.0;33.0
31.6;15.0;22.0;44.0
31.7;10.0;28.0;38.0
31.8;17.0;31.0;53.0
31.9;21.0;47.0;70.0
32.0;26.0;71.0;106.0
32.1;29.0;57.0;110.0
32.2;25.0;56.0;98.0
32.3;26.0;48.0;79.0
32.4;21.0;36.0;53.0
32.5;21.0;23.0;44.0
32.6;15.0;21.0;41.0
32.7;16.0;24.0;36.0
32.8;14.0;25.0;32.0
32.9;17.0;19.0;29.0
33.0;6.0;29.0;31.0
33.1;19.0;29.0;31.0
33.2;10.0;27.0;32.0
33.3;13.0;28.0;36.0
33.4;13.0;25.0;28.0
33.5;18.0;17.0;40.0
33.6;8.0;26.0;39.0
33.7;13.0;23.0;25.0
33.8;12.0;22.0;32.0
33.9;15.0;20.0;24.0
34.0;12.0;22.0;34.0
34.1;13.0;17.0;29.0
34.2;13.0;21.0;29.0
34.3;15.0;21.0;27.0
34.4;11.0;19.0;38.0
34.5;13.0;23.0;36.0
34.6;12.0;25.0;29.0
34.7;13.0;15.0;31.0
34.8;15.0;20.0;31.0
34.9;13.0;15.0;30.0
35.0;11.0;19.0;27.0
35.1;14.0;21.0;23.0
35.2;11.0;21.0;34.0
35.3;8.0;19.0;29.0
35.4;12.0;18.0;27.0
35.5;10.0;16.0;28.0
35.6;16.0;19.0;29.0
35.7;13.0;22.0;30.0
35.8;9.0;21.0;20.0
35.9;12.0;22.0;22.0
36.0;12.0;19.0;27.0
36.1;10.0;13.0;22.0
36.2;13.0;18.0;26.0
36.3;10.0;20.0;24.0
36.4;12.0;19.0;26.0
36.5;12.0;17.0;23.0
36.6;12.0;18.0;28.0
36.7;15.0;21.0;28.0
36.8;8.0;21.0;28.0
36.9;14.0;18.0;29.0
37.0;11.0;20.0;26.0
37.1;11.0;20.0;28.0
37.2;11.0;15.0;24.0
37.3;11.0;20.0;29.0
37.4;7.0;11.0;22.0
37.5;14.0;17.0;24.0
37.6;15.0;15.0;23.0
37.7;11.0;21.0;26.0
37.8;16.0;19.0;26.0
37.9;4.0;16.0;22.0
38.0;11.0;18.0;19.0
38.1;9.0;21.0;25.0
38.2;10.0;16.0;21.0
38.3;6.0;20.0;26.0
38.4;12.0;20.0;25.0
38.5;11.0;18.0;33.0
38.6;10.0;17.0;21.0
38.7;11.0;15.0;20.0
38.8;9.0;16.0;27.0
38.9;8.0;14.0;21.0
39.0;10.0;23.0;27.0
39.1;13.0;22.0;34.0
39.2;13.0;19.0;28.0
39.3;10.0;13.0;24.0
39.4;15.0;17.0;29.0
39.5;9.0;14.0;28.0
39.6;8.0;12.0;26.0
39.7;11.0;16.0;22.0
39.8;10.0;19.0;18.0
39.9;8.0;12.0;24.0
40.0;10.0;17.0;21.0
